group	x	y
26	0.0705407990800672	-0.306032436169218
26	0.0698222090417655	-0.283395340730358
26	0.0676693324353226	-0.260849396885208
26	0.0640908381349885	-0.238485389192183
26	0.0591011354743033	-0.216393369617025
26	0.0527203162247971	-0.194662294925322
26	0.0449740736935171	-0.173379668485012
26	0.035893599265149	-0.152631187921198
26	0.0255154568053188	-0.132500400042064
26	0.0138814354308116	-0.113068364425363
26	0.00103838123954714	-0.0944133270201081
26	-0.0129619913221223	-0.0766104050777507
26	-0.0280633076952351	-0.0597312846815223
26	-0.0442047602086722	-0.0438439320918782
26	-0.0613213529301872	-0.0290123200703548
26	-0.0793441633820852	-0.0152961702838377
26	-0.0982006200677151	-0.00275071282648759
26	-0.117814794691273	0.00857353617235573
26	-0.13810770789425	0.0186309779587971
26	-0.158997647277435	0.0273811147644739
26	-0.180400496427906	0.034788712876776
26	-0.202230073626137	0.0408239445125707
26	-0.224398478869364	0.0454625079241581
26	-0.246816447813871	0.0486857252538316
26	-0.269393711211003	0.0504806177430194
26	-0.292039358389564	0.0508399579931634
26	-0.314662203321005	0.0497622990679033
26	-0.337171151793379	0.0472519803193781
26	-0.359475568215583	0.0433191099151867
26	-0.381485640574887	0.0379795241363646
26	-0.40311274207822	0.0312547236102698
26	-0.424269788020977	0.0231717867351444
26	-0.444871586446396	0.0137632606449621
26	-0.464835181183493	0.00306703015360765
26	-0.484080185882288	-0.00887383479389814
26	-0.502529107701263	-0.0220112525488658
26	-0.520107659343687	-0.0362923233667656
26	-0.536745058186334	-0.0516595424158289
26	-0.552374311296132	-0.0680510313287092
26	-0.566932485187056	-0.0854007873648285
26	-0.580360959231062	-0.103638949180117
26	-0.592605661702673	-0.122692078133991
26	-0.603617287506726	-0.142483454000836
26	-0.613351496712594	-0.162933383895279
26	-0.621769093095432	-0.183959523167309
26	-0.628836181965546	-0.205477206975125
26	-0.634524306650339	-0.227399791200564
26	-0.638810563079296	-0.24963900133439
26	-0.641677692010583	-0.272105287926584
26	-0.64311414852793	-0.294708187170375
26	-0.64311414852793	-0.317356685168062
26	-0.641677692010583	-0.339959584411853
26	-0.638810563079296	-0.362425871004047
26	-0.634524306650339	-0.384665081137872
26	-0.628836181965546	-0.406587665363311
26	-0.621769093095432	-0.428105349171127
26	-0.613351496712594	-0.449131488443158
26	-0.603617287506726	-0.469581418337601
26	-0.592605661702673	-0.489372794204446
26	-0.580360959231062	-0.508425923158319
26	-0.566932485187056	-0.526664084973608
26	-0.552374311296132	-0.544013841009727
26	-0.536745058186334	-0.560405329922608
26	-0.520107659343687	-0.575772548971671
26	-0.502529107701263	-0.590053619789571
26	-0.484080185882288	-0.603191037544538
26	-0.464835181183493	-0.615131902492044
26	-0.444871586446396	-0.625828132983399
26	-0.424269788020977	-0.635236659073581
26	-0.40311274207822	-0.643319595948706
26	-0.381485640574887	-0.650044396474801
26	-0.359475568215583	-0.655383982253623
26	-0.337171151793379	-0.659316852657815
26	-0.314662203321005	-0.66182717140634
26	-0.292039358389564	-0.6629048303316
26	-0.269393711211003	-0.662545490081456
26	-0.246816447813871	-0.660750597592268
26	-0.224398478869364	-0.657527380262595
26	-0.202230073626137	-0.652888816851007
26	-0.180400496427906	-0.646853585215213
26	-0.158997647277435	-0.639445987102911
26	-0.13810770789425	-0.630695850297234
26	-0.117814794691273	-0.620638408510792
26	-0.0982006200677151	-0.609314159511949
26	-0.0793441633820853	-0.596768702054599
26	-0.061321352930187	-0.583052552268082
26	-0.0442047602086721	-0.568220940246558
26	-0.0280633076952351	-0.552333587656914
26	-0.0129619913221223	-0.535454467260686
26	0.00103838123954719	-0.517651545318328
26	0.0138814354308116	-0.498996507913074
26	0.0255154568053188	-0.479564472296373
26	0.0358935992651489	-0.459433684417239
26	0.0449740736935171	-0.438685203853425
26	0.0527203162247971	-0.417402577413114
26	0.0591011354743033	-0.395671502721412
26	0.0640908381349886	-0.373579483146254
26	0.0676693324353226	-0.351215475453228
26	0.0698222090417655	-0.328669531608079
26	0.0705407990800672	-0.306032436169218
