x	y	showSelected1
0.510120452846937	2.64732295744856	1
0.510120452846937	2.64732295744856	2
0.510120452846937	2.64732295744856	3
0.510120452846937	2.64732295744856	4
0.510120452846937	2.64732295744856	5
0.510120452846937	2.64732295744856	6
0.510120452846937	2.64732295744856	7
0.510120452846937	2.64732295744856	8
0.510120452846937	2.64732295744856	9
0.510120452846937	2.64732295744856	10
0.510120452846937	2.64732295744856	11
0.510120452846937	2.64732295744856	12
0.510120452846937	2.64732295744856	13
0.510120452846937	2.64732295744856	14
-0.286376521095639	-0.306032436169218	15
-0.286376521095639	-0.306032436169218	16
-0.286376521095639	-0.306032436169218	17
-0.286376521095639	-0.306032436169218	18
-0.286376521095639	-0.306032436169218	19
-0.286376521095639	-0.306032436169218	20
-0.286376521095639	-0.306032436169218	21
-0.286376521095639	-0.306032436169218	22
-0.286376521095639	-0.306032436169218	23
-0.286376521095639	-0.306032436169218	24
-0.286376521095639	-0.306032436169218	25
-0.286376521095639	-0.306032436169218	26
-0.286376521095639	-0.306032436169218	27
-0.286376521095639	-0.306032436169218	28
1.27017965845082	-1.70939358025537	29
1.27017965845082	-1.70939358025537	30
1.27017965845082	-1.70939358025537	31
1.27017965845082	-1.70939358025537	32
1.27017965845082	-1.70939358025537	33
1.27017965845082	-1.70939358025537	34
1.27017965845082	-1.70939358025537	35
1.27017965845082	-1.70939358025537	36
1.27017965845082	-1.70939358025537	37
1.27017965845082	-1.70939358025537	38
1.27017965845082	-1.70939358025537	39
1.27017965845082	-1.70939358025537	40
1.27017965845082	-1.70939358025537	41
1.27017965845082	-1.70939358025537	42
1.06370718164992	-0.173279522345063	43
1.06370718164992	-0.173279522345063	44
1.06370718164992	-0.173279522345063	45
1.06370718164992	-0.173279522345063	46
1.06370718164992	-0.173279522345063	47
1.06370718164992	-0.173279522345063	48
1.06370718164992	-0.173279522345063	49
1.06370718164992	-0.173279522345063	50
1.06370718164992	-0.173279522345063	51
1.06370718164992	-0.173279522345063	52
1.06370718164992	-0.173279522345063	53
1.06370718164992	-0.173279522345063	54
1.06370718164992	-0.173279522345063	55
1.06370718164992	-0.173279522345063	56
-0.743091657877376	0.249046007078814	57
-0.743091657877376	0.249046007078814	58
-0.743091657877376	0.249046007078814	59
-0.743091657877376	0.249046007078814	60
-0.743091657877376	0.249046007078814	61
-0.743091657877376	0.249046007078814	62
-0.743091657877376	0.249046007078814	63
-0.743091657877376	0.249046007078814	64
-0.743091657877376	0.249046007078814	65
-0.743091657877376	0.249046007078814	66
-0.743091657877376	0.249046007078814	67
-0.743091657877376	0.249046007078814	68
-0.743091657877376	0.249046007078814	69
-0.743091657877376	0.249046007078814	70
