group	x	y	row_in_group	na_group
5	2.44403310574727	2.64732295744856	1	0
5	2.44013951390187	2.76997927816893	2	0
5	2.4284744164858	2.89214170517653	3	0
5	2.40908478472923	3.01331833349429	4	0
5	2.3820486938358	3.1330212276085	5	0
5	2.34747500860131	3.25076838621295	6	0
5	2.30550294505365	3.36608568305808	7	0
5	-1.26155328440995	3.42268759280552	44	36
5	-1.30716299632801	3.30876004017286	45	36
5	-1.34545514919511	3.19216911385816	46	36
5	-1.37627555402663	3.07338428437167	47	36
5	-1.39950010793019	2.95288385629734	48	36
5	-1.41503529382417	2.83115304232916	49	36
5	-1.42281855699804	2.70868200949085	50	36
5	-1.42281855699804	2.58596390540627	51	36
5	-1.41503529382417	2.46349287256796	52	36
5	-1.39950010793019	2.34176205859978	53	36
5	-1.37627555402663	2.22126163052546	54	36
5	-1.34545514919511	2.10247680103896	55	36
5	-1.30716299632801	1.98588587472426	56	36
5	-1.26155328440995	1.87195832209161	57	36
5	-1.20880966765316	1.76115288918541	58	36
5	-1.1491445259868	1.65391575037591	59	36
5	-1.08279810987791	1.55067871177241	60	36
5	-1.0100375729276	1.45185747249249	61	36
5	-0.931155896137809	1.3578499507884	62	36
5	-0.846470708180158	1.26903468177066	63	36
5	-0.756323006417449	1.18576929318082	64	36
5	-0.661075783827609	1.10838906535073	65	36
5	-0.561112567359095	1.03720558114698	66	36
5	-0.456835873603229	0.972505471336714	67	36
5	-0.34866558800196	0.91454926042662	68	36
5	-0.237037274117374	0.863570317622755	69	36
5	-0.122400419770967	0.819773917135089	70	36
5	-0.00521662711482684	0.783336411610719	71	36
5	0.114042246077307	0.754404522024002	72	36
5	0.234895986414766	0.733094746882973	73	36
5	0.356857958539788	0.719492893130972	74	36
5	0.479437064636344	0.71365373063237	75	36
5	0.602139721907711	0.715600771633652	76	36
5	0.724471850060199	0.725326176087903	77	36
5	0.845940860790098	0.742790783223905	78	36
5	0.966057641262933	0.767924269232746	79	36
5	1.0843385235982	0.800625430436977	80	36
5	1.20030723242925	0.840762590802098	81	36
5	1.31349680269604	0.88817413214948	82	36
5	1.42345145994867	0.942669144935725	83	36
5	1.52972845559018	1.00402819697802	84	36
5	1.63189984966894	1.07200421703008	85	36
5	1.72955423404175	1.14632348965088	86	36
5	1.82229838896924	1.22668675736008	87	36
5	1.90975886647298	1.31277042564235	88	36
5	1.99158349407872	1.4042278659482	89	36
5	2.06744279289056	1.50069081144486	90	36
5	2.13703130428627	1.6017708398968	91	36
5	2.20006881989127	1.70706093770502	92	36
5	2.25630150987893	1.81613713880712	93	36
5	2.30550294505365	1.92856023183904	94	36
5	2.34747500860131	2.04387752868417	95	36
5	2.3820486938358	2.16162468728862	96	36
5	2.40908478472923	2.28132758140283	97	36
5	2.4284744164858	2.40250420972059	98	36
5	2.44013951390187	2.5246666367282	99	36
5	2.44403310574727	2.64732295744856	100	36
