group	x	y	row_in_group	na_group
2	2.1206224474483	2.64732295744856	1	0
2	2.11737998589049	2.74946730656089	2	0
2	2.10766565746536	2.85120035643056	3	0
2	2.09151857834485	2.95211246397179	4	0
2	2.06900376711757	3.05179729174381	5	0
2	2.04021188298188	3.14985344412831	6	0
2	2.00525886069327	3.24588608360796	7	0
2	1.96428544373605	3.33950852063769	8	0
2	1.91745661759899	3.43034377070704	9	0
2	-0.87166354550288	3.47460142115916	42	32
2	-0.921350810084216	3.3852976846698	43	32
2	-0.965274045118591	3.29302238441751	44	32
2	-1.00325638724095	3.1981470804684	45	32
2	-1.03514489496521	3.10105380218583	46	32
2	-1.0608111645256	3.00213350993297	47	32
2	-1.08015184691335	2.90178452081344	48	32
2	-1.09308906402667	2.80041090478886	49	32
2	-1.09957072225835	2.69842085763178	50	32
2	-1.09957072225835	2.59622505726534	51	32
2	-1.09308906402667	2.49423501010826	52	32
2	-1.08015184691335	2.39286139408368	53	32
2	-1.0608111645256	2.29251240496415	54	32
2	-1.03514489496521	2.1935921127113	55	32
2	-1.00325638724095	2.09649883442873	56	32
2	-0.965274045118591	2.00162353047962	57	32
2	-0.921350810084216	1.90934823022732	58	32
2	-0.87166354550288	1.82004449373796	59	32
2	-0.816412324452242	1.73407191563919	60	32
2	-0.755819624098898	1.65177667715952	61	32
2	-0.690129429861355	1.57349015217871	62	32
2	-0.619606252966862	1.49952757290214	63	32
2	-0.544534065358058	1.4301867605319	64	32
2	-0.465215156238183	1.365746926046	65	32
2	-0.381968914859149	1.30646754591429	66	32
2	-0.295130544453745	1.25258731727827	67	32
2	-0.205049712490533	1.20432319680196	68	32
2	-0.112089142686362	1.161869527064	69	32
2	-0.0166231544459767	1.12539725400866	70	32
2	0.080963844390104	1.09505323860689	71	32
2	0.180278905420288	1.07095966549896	72	32
2	0.280922121946441	1.05321355100012	73	32
2	0.382488239257007	1.04188635245006	74	32
2	0.484568286444707	1.03702368047949	75	32
2	0.586751223188029	1.03864511535217	76	32
2	0.68862559486554	1.04674412812215	77	32
2	0.78978118933842	1.06128810692351	78	32
2	0.889810688729965	1.08221848828682	79	32
2	0.98831130955091	1.10945099295357	80	32
2	1.08488642456639	1.14287596523901	81	32
2	1.17914715987383	1.18235881457689	82	32
2	1.27071396076087	1.22774055746815	83	32
2	1.35921812003829	1.27883845765137	84	32
2	1.44430326269366	1.33544676191719	85	32
2	1.52562678088777	1.39733752860389	86	32
2	1.6028612135155	1.46426154543798	87	32
2	1.67569556477605	1.53594933302408	88	32
2	1.74383655644334	1.61211222994335	89	32
2	1.80700980879386	1.6924435550911	90	32
2	1.864960945437	1.77661984257341	91	32
2	1.91745661759899	1.86430214419008	92	32
2	1.96428544373605	1.95513739425943	93	32
2	2.00525886069327	2.04875983128916	94	32
2	2.04021188298188	2.14479247076881	95	32
2	2.06900376711757	2.24284862315331	96	32
2	2.09151857834485	2.34253345092533	97	32
2	2.10766565746536	2.44344555846656	98	32
2	2.11737998589049	2.54517860833623	99	32
2	2.1206224474483	2.64732295744856	100	32
