x	y
1.03459335954239	0.3
1.03371838250646	0.327563614318893
1.03109697462238	0.35501623969133
1.02673969137449	0.382247334084169
1.02066407800454	0.409147247491335
1.01289459886323	0.435607663455694
1.00346253890088	0.461522035221198
0.992405877693966	0.486786014759061
0.979769136514785	0.511297872940449
0.96560319906001	0.534958909163774
0.949965106559991	0.557673848787179
0.932917828093858	0.579351226765898
0.914530007035265	0.599903755949705
0.894875684649746	0.619248678557464
0.874034001956679	0.637308099413505
0.852088881056325	0.654009299603999
0.829128687205157	0.669285029290364
0.805245873000157	0.683073778500627
0.780536606104837	0.695320024808371
0.755100382016003	0.705974456901951
0.729039623430503	0.714994173143742
0.70245926782518	0.72234285431989
0.675466344910686	0.727990909884971
0.648169545660612	0.73191559711267
0.620678784651303	0.734101112672715
0.593104757474653	0.734538656265309
0.565558495006019	0.733226466056834
0.538150916322081	0.73016982577413
0.510992382068865	0.725381043428793
0.484192250078374	0.718879401757157
0.457858435023193	0.71069108057552
0.432096973882195	0.700849051363263
0.407011598967046	0.689392944498341
0.382703320228803	0.676368889679737
0.35927001852649	0.661829330179447
0.336806051495424	0.645832811671932
0.315401873602321	0.628443746491351
0.295143671917087	0.609732154265822
0.276113019067901	0.589773379973099
0.258386544777037	0.568647790552933
0.242035627300015	0.546440451297774
0.227126106010562	0.52324078332486
0.213718016288686	0.499142203508941
0.201865347779397	0.474241748325491
0.191615826995456	0.448639683119073
0.183010725139555	0.422439098370185
0.17608469191975	0.395745494586277
0.170865616027319	0.368666357488446
0.167374512838838	0.341310725204372
0.165625439794686	0.313788749210263
0.165625439794686	0.286211250789737
0.167374512838838	0.258689274795628
0.170865616027319	0.231333642511554
0.17608469191975	0.204254505413723
0.183010725139555	0.177560901629815
0.191615826995456	0.151360316880927
0.201865347779397	0.125758251674509
0.213718016288686	0.100857796491059
0.227126106010562	0.0767592166751399
0.242035627300015	0.0535595487022264
0.258386544777037	0.0313522094470672
0.276113019067901	0.0102266200269012
0.295143671917087	-0.00973215426582219
0.315401873602321	-0.0284437464913507
0.336806051495424	-0.0458328116719325
0.35927001852649	-0.0618293301794472
0.382703320228804	-0.0763688896797369
0.407011598967046	-0.0893929444983405
0.432096973882195	-0.100849051363263
0.457858435023193	-0.11069108057552
0.484192250078374	-0.118879401757157
0.510992382068865	-0.125381043428793
0.538150916322081	-0.13016982577413
0.565558495006018	-0.133226466056834
0.593104757474653	-0.134538656265309
0.620678784651304	-0.134101112672715
0.648169545660612	-0.13191559711267
0.675466344910686	-0.127990909884971
0.70245926782518	-0.12234285431989
0.729039623430503	-0.114994173143742
0.755100382016003	-0.105974456901951
0.780536606104837	-0.0953200248083707
0.805245873000157	-0.0830737785006268
0.829128687205157	-0.069285029290364
0.852088881056325	-0.0540092996039989
0.874034001956679	-0.0373080994135047
0.894875684649746	-0.0192486785574643
0.914530007035265	9.624405029518e-05
0.932917828093858	0.0206487732341022
0.949965106559991	0.042326151212821
0.96560319906001	0.0650410908362262
0.979769136514785	0.0887021270595509
0.992405877693966	0.113213985240939
1.00346253890088	0.138477964778803
1.01289459886323	0.164392336544306
1.02066407800454	0.190852752508665
1.02673969137449	0.217752665915831
1.03109697462238	0.24498376030867
1.03371838250646	0.272436385681107
1.03459335954239	0.3
